Length,AllOff,AllOn,Random
2,4,6,6
3,6,12,6
4,8,20,20
5,10,30,20
6,12,42,14
7,14,56,20
8,16,72,34
9,18,90,54
10,20,110,48
11,22,132,60
12,24,156,112
13,26,182,108
14,28,210,132
15,30,240,146
16,32,272,160
17,34,306,180
18,36,342,210
19,38,380,222
20,40,420,190
21,42,462,208
22,44,506,308
23,46,552,258
24,48,600,302
25,50,650,330
26,52,702,458
27,54,756,400
28,56,812,422
29,58,870,422
30,60,930,326
31,62,992,412
32,64,1056,584
33,66,1122,478
34,68,1190,782
35,70,1260,598
36,72,1332,866
37,74,1406,626
38,76,1482,978
39,78,1560,744
40,80,1640,630
41,82,1722,1054
42,84,1806,868
43,86,1892,812
44,88,1980,992
45,90,2070,1390
46,92,2162,1160
47,94,2256,1262
48,96,2352,1484
49,98,2450,1378
50,100,2550,1328
51,102,2652,1502
52,104,2756,1118
53,106,2862,1984
54,108,2970,1736
55,110,3080,2076
56,112,3192,1448
57,114,3306,1490
58,116,3422,1848
59,118,3540,1978
60,120,3660,2042
61,122,3782,1710
62,124,3906,1786
63,126,4032,1660
64,128,4160,1918
65,130,4290,1718
66,132,4422,2132
67,134,4556,2292
68,136,4692,1974
69,138,4830,2432
70,140,4970,3058
71,142,5112,2594
72,144,5256,2146
73,146,5402,2594
74,148,5550,2946
75,150,5700,3466
76,152,5852,3016
77,154,6006,2138
78,156,6162,3384
79,158,6320,3582
80,160,6480,3406
81,162,6642,3484
82,164,6806,3320
83,166,6972,3750
84,168,7140,3170
85,170,7310,4000
86,172,7482,4450
87,174,7656,3402
88,176,7832,4450
89,178,8010,4146
90,180,8190,3852
91,182,8372,4298
92,184,8556,3574
93,186,8742,5450
94,188,8930,3748
95,190,9120,4028
96,192,9312,5106
97,194,9506,4252
98,196,9702,3954
99,198,9900,5996
100,200,10100,5754
